District_Name,Country_Name,Bordering_Country,Distance_to_Border
Badakhshan,Afghanistan,Afghanistan,0.0
Badghis,Afghanistan,Afghanistan,0.0
Baghlan,Afghanistan,Afghanistan,0.0
Balkh,Afghanistan,Afghanistan,0.0
Bamyan,Afghanistan,Afghanistan,0.0
Daykundi,Afghanistan,Afghanistan,0.0
Farah,Afghanistan,Afghanistan,0.0
Faryab,Afghanistan,Afghanistan,0.0
Ghazni,Afghanistan,Afghanistan,0.0
Ghor,Afghanistan,Afghanistan,0.0
Hilmand,Afghanistan,Afghanistan,0.0
Hirat,Afghanistan,Afghanistan,0.0
Jawzjan,Afghanistan,Afghanistan,0.0
Kabul,Afghanistan,Afghanistan,0.0
Kandahar,Afghanistan,Afghanistan,0.0
Kapisa,Afghanistan,Afghanistan,0.0
Khost,Afghanistan,Afghanistan,0.0
Kunar,Afghanistan,Afghanistan,0.0
Kunduz,Afghanistan,Afghanistan,0.0
Laghman,Afghanistan,Afghanistan,0.0
Logar,Afghanistan,Afghanistan,0.0
Nangarhar,Afghanistan,Afghanistan,0.0
Nimroz,Afghanistan,Afghanistan,0.0
Nuristan,Afghanistan,Afghanistan,0.0
Paktika,Afghanistan,Afghanistan,0.0
Paktya,Afghanistan,Afghanistan,0.0
Panjshir,Afghanistan,Afghanistan,0.0
Parwan,Afghanistan,Afghanistan,0.0
Samangan,Afghanistan,Afghanistan,0.0
Sari Pul,Afghanistan,Afghanistan,0.0
Takhar,Afghanistan,Afghanistan,0.0
Uruzgan,Afghanistan,Afghanistan,0.0
Wardak,Afghanistan,Afghanistan,0.0
Zabul,Afghanistan,Afghanistan,0.0
Bengo,Angola,Angola,0.0
Benguela,Angola,Angola,0.0
Bié,Angola,Angola,0.0
Cabinda,Angola,Angola,0.0
Cuando Cubango,Angola,Angola,0.0
Cuanza Norte,Angola,Angola,0.0
Cuanza Sul,Angola,Angola,0.0
Cunene,Angola,Angola,0.0
Huambo,Angola,Angola,0.0
Huíla,Angola,Angola,0.0
Luanda,Angola,Angola,0.0
Lunda Norte,Angola,Angola,0.0
Lunda Sul,Angola,Angola,0.0
Malanje,Angola,Angola,0.0
Moxico,Angola,Angola,0.0
Namibe,Angola,Angola,0.0
Uíge,Angola,Angola,0.0
Zaire,Angola,Angola,0.0
Blowing Point,Anguilla,Anguilla,0.0
Dog Island,Anguilla,Anguilla,0.0
East End,Anguilla,Anguilla,0.0
George Hill,Anguilla,Anguilla,0.0
Island Harbour,Anguilla,Anguilla,0.0
North Hill,Anguilla,Anguilla,0.0
North Side,Anguilla,Anguilla,0.0
Pricly Pear Cays,Anguilla,Anguilla,0.0
Sandy Ground,Anguilla,Anguilla,0.0
Sandy Hill,Anguilla,Anguilla,0.0
Scrub Island,Anguilla,Anguilla,0.0
Sombrero Island,Anguilla,Anguilla,0.0
South Hill,Anguilla,Anguilla,0.0
Stoney Ground,Anguilla,Anguilla,0.0
The Farrington,Anguilla,Anguilla,0.0
The Quarter,Anguilla,Anguilla,0.0
The Valley,Anguilla,Anguilla,0.0
West End,Anguilla,Anguilla,0.0
Archipelago,Åland,Åland,0.0
Countryside,Åland,Åland,0.0
Mariehamn,Åland,Åland,0.0
Berat,Albania,Albania,0.0
Dibër,Albania,Albania,0.0
Durrës,Albania,Albania,0.0
Elbasan,Albania,Albania,0.0
Fier,Albania,Albania,0.0
Gjirokastër,Albania,Albania,0.0
Korçë,Albania,Albania,0.0
Kukës,Albania,Albania,0.0
Lezhë,Albania,Albania,0.0
Shkodër,Albania,Albania,0.0
Tiranë,Albania,Albania,0.0
Vlorë,Albania,Albania,0.0
Andorra la Vella,Andorra,Andorra,0.0
Canillo,Andorra,Andorra,0.0
Encamp,Andorra,Andorra,0.0
Escaldes-Engordany,Andorra,Andorra,0.0
La Massana,Andorra,Andorra,0.0
Ordino,Andorra,Andorra,0.0
Sant Julià de Lòria,Andorra,Andorra,0.0
Abu Dhabi,United Arab Emirates,United Arab Emirates,0.0
Ajman,United Arab Emirates,United Arab Emirates,0.0
Dubai,United Arab Emirates,United Arab Emirates,0.0
Fujairah,United Arab Emirates,United Arab Emirates,0.0
Ras Al-Khaimah,United Arab Emirates,United Arab Emirates,0.0
Sharjah,United Arab Emirates,United Arab Emirates,0.0
Umm al-Qaywayn,United Arab Emirates,United Arab Emirates,0.0
Buenos Aires,Argentina,Argentina,0.0
Catamarca,Argentina,Argentina,0.0
Chaco,Argentina,Argentina,0.0
Chubut,Argentina,Argentina,0.0
Ciudad de Buenos Aires,Argentina,Argentina,0.0
Córdoba,Argentina,Argentina,0.0
Corrientes,Argentina,Argentina,0.0
Entre Ríos,Argentina,Argentina,0.0
Formosa,Argentina,Argentina,0.0
Jujuy,Argentina,Argentina,0.0
La Pampa,Argentina,Argentina,0.0
La Rioja,Argentina,Argentina,0.0
Mendoza,Argentina,Argentina,0.0
Misiones,Argentina,Argentina,0.0
Neuquén,Argentina,Argentina,0.0
Río Negro,Argentina,Argentina,0.0
Salta,Argentina,Argentina,0.0
San Juan,Argentina,Argentina,0.0
San Luis,Argentina,Argentina,0.0
Santa Cruz,Argentina,Argentina,0.0
Santa Fe,Argentina,Argentina,0.0
Santiago del Estero,Argentina,Argentina,0.0
